epoch,loss,mse,val_loss,val_mse
0,0.566461128,0.020054508,15.59214175,0.959888728
1,0.219735507,0.004279748,0.119909893,0.025489199
2,0.150865023,0.00351606,0.07470728,0.015040827
3,0.123049535,0.003936048,0.144924851,0.038666996
4,0.079006124,0.003311423,0.071124281,0.014163575
5,0.058052281,0.002427514,0.085035894,0.014746333
6,0.052913017,0.001932366,0.079558609,0.014545412
7,0.052519149,0.001924238,0.083909758,0.015838355
8,0.052416237,0.001893906,0.082067419,0.015477978
9,0.052417883,0.001918225,0.081056538,0.015803515
10,0.052361111,0.001921262,0.097623698,0.018779873
11,0.052315388,0.001943192,0.068980919,0.013568258
12,0.052183848,0.001915762,0.097993199,0.018701218
13,0.051887435,0.001852696,0.081951813,0.015902308
14,0.05181988,0.001846382,0.082806601,0.016019271
15,0.051703181,0.00185358,0.08726179,0.016028113
16,0.051755523,0.001902968,0.098041781,0.018182851
17,0.051618921,0.001878058,0.087138374,0.015898106
18,0.05142225,0.001839927,0.087424309,0.016940817
4,0.092078836,0.004626596,0.14498609,0.031645197
5,0.068741264,0.003298033,0.13382271,0.028084485
6,0.064169136,0.003101768,0.145893249,0.030249437
7,0.062586291,0.002734927,0.184358707,0.034912794
8,0.062668451,0.002721739,0.240043701,0.040240467
9,0.062333785,0.002662901,0.25759154,0.040275813
10,0.061712517,0.002536273,0.282644024,0.043015933
11,0.062439702,0.002626975,0.252180937,0.039035471
12,0.061977627,0.002527458,0.283857017,0.042519103
19,0.062370872,0.004341779,0.101124453,0.018583553
20,0.062870283,0.004397583,0.090589966,0.017076687
21,0.062677693,0.004428159,0.088372675,0.01660989
22,0.062129666,0.004380349,0.090673794,0.017327037
23,0.062337779,0.004348762,0.083316175,0.015321136
24,0.062111941,0.004381435,0.092472911,0.016804196
25,0.062706466,0.004458913,0.088002453,0.016211309
26,0.062267581,0.004310156,0.09293786,0.017175025
27,0.060937442,0.004058254,0.105357484,0.019062545
28,0.060708657,0.003956396,0.103457024,0.018559972
24,0.059396126,0.003602321,0.170928363,0.026960365
24,0.058895464,0.003594261,0.014707143,0.004086722
25,0.059875321380483605,0.0038229522378969705,0.13458301835116782,0.022593942489511926
26,0.05894611492597809,0.0036574254124085805,0.15599894370970602,0.026632307174012805
27,0.0593197524237136,0.0036670769786724122,0.13589328136387938,0.022901495715350835
28,0.05993222751809905,0.0038558182520015785,0.14849481421724775,0.024666768624751458
29,0.05957845198766639,0.0037228302426228765,0.11649740090339777,0.020631889291544327
30,0.0586987411758552,0.003562574389131138,0.1642834171555754,0.027696965588645196
31,0.05866445309948176,0.0034646815353577645,0.1500761747137516,0.024543080423702228
25,0.06604715793703993,0.005051151563141805,0.02969728649503565,0.007547673544103285
26,0.06447897641919553,0.004646442840263869,0.08566797065867691,0.015387527354571084
27,0.0641503354612117,0.004514165582804708,0.08781006358489943,0.016158142941171752
28,0.06532847213869293,0.004858764207407755,0.1054764412855187,0.019336552591002892
29,0.06533516159591575,0.004800485385203501,0.10753500557139688,0.019256641903998645
